,rho,T,Z,N,b,EW,chisq,dv,gal_ids,r_perp,mass,ssfr,kappa_rot,train_mask,trans_train_mask
0,-27.02094104876014,4.290862800351304,-3.3595358426120794,12.378993923494319,0.8960179239025574,-1.1045052088952667,2.135419348475793,-20.37871327603989,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
1,-27.174576115112878,4.362302982215526,-3.4197471185575603,12.414489455134476,0.9726786055408077,-1.05655934647709,2.135419348475793,51.79623701970695,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
2,-27.387551835947246,4.35348631309073,-3.5776487423851586,12.102090702700842,0.9376820055698754,-1.3143802571883985,2.135419348475793,-49.262026244426124,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
3,-26.82177409784927,4.334670464101901,-4.117726712196128,11.721472623496124,0.8845823825289555,-1.651050255216631,2.135419348475793,10.96168336983692,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
4,-26.947595857151775,4.262066887313316,-3.373027165214853,12.751366592105088,0.7109621616852309,-0.9999569847517249,2.135419348475793,-15.824203963955824,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
5,-27.31255681082042,4.466118271965952,-3.405244646685438,11.549301021756591,0.9395435613474149,-1.8018850355611173,2.135419348475793,27.391843659564984,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
6,-26.739720252756875,4.26130805865867,-3.7180347909599005,11.91692344278034,0.687165092031562,-1.5109326855767733,0.41482094672668884,104.23454077523047,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
7,-27.1559272797736,4.446283039415348,-3.5352180909429363,11.668158335812308,0.759901329953071,-1.711260982417351,0.0295673318121618,25.865109357408073,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
8,-27.102099633608173,4.385769310338556,-3.17143250309969,12.447895817159598,0.7516132639138267,-1.1157570590834744,0.16549748978722964,54.0294404637516,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
9,-27.15471629817133,3.9184741313073768,-3.9510341110524902,12.208469595747925,0.5877073773119382,-1.339293169192273,0.20602067887549932,-107.15904387128103,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
10,-26.93016753432336,3.8964242506314646,-3.7575866075706266,13.00349097308925,0.7051873358644402,-0.9315061721487031,0.8056312407690882,154.0393127679663,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,False
11,-26.973920875450666,4.320027554406423,-3.600803514074956,12.896948892890572,0.8321300720434076,-0.8554696815186615,0.45637860109028944,-35.05192555416943,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
12,-27.242722911168354,4.26062593121545,-3.4941914824939055,11.6548923142921,0.7059420579575179,-1.7258834371615628,0.45637860109028944,-3.3025380309741195,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,False
13,-27.06592266984103,4.363789095635723,-3.48797180850993,12.097610793498918,0.7751875417599015,-1.3502196009742615,0.45637860109028944,20.732471814099426,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,False
14,-27.14147197800176,4.285671577767413,-3.6203481442390966,11.95627179631923,0.6912473343339445,-1.4790817312152307,0.45637860109028944,-13.441170313601106,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
15,-27.047456256190266,4.207393918632073,-3.615220936296196,11.978738186818166,0.6499977494694263,-1.473418017478573,0.7708933192526324,52.3954833066814,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
16,-27.095492958594313,3.697261955166432,-3.6159441196723168,12.355897412245456,0.5699600185423315,-1.2694661586655185,0.7708933192526324,45.456276824006636,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
17,-27.049351244319396,4.31652964486658,-3.7149335483324237,11.766112193750205,0.7303961681026343,-1.6334896391677407,0.5432399873291873,-35.4157656852276,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
18,-27.191841123136285,4.353123681328185,-3.2484323923000273,12.387460340014595,0.731745272726311,-1.1613266401563396,0.43869888528466694,20.10287351402485,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
19,-27.2964251122857,2.9782255392453734,-3.550939119483366,11.649708057020415,0.4719333058395868,-1.7712239486015118,0.31466587108589855,43.47846219336907,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
20,-27.044752135874514,3.5577939165105525,-3.8443546769770767,12.511931394429588,0.5438398870256437,-1.2237936483581902,0.2932843001923626,-82.20501528426212,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
21,-27.08397570001099,3.7801531514085465,-3.819044135574902,11.798196170579574,0.45601595690528735,-1.6669692927680564,0.2932843001923626,-77.07146585930423,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
