,rho,T,Z,N,b,EW,chisq,dv,gal_ids,r_perp,mass,ssfr,kappa_rot,train_mask,trans_train_mask
0,-27.405762910637215,4.573414861394504,-3.42678588400385,16.227990481663422,1.4064188454898574,-0.24261383852727403,2.381608828241565,-3.545898050841515,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
1,-26.742453213366794,4.263949716843617,-3.615507792055861,12.187156631205093,0.827530390814026,-1.5692156451764363,2.381608828241565,100.02791939987992,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
2,-26.872773810090447,5.009922561934744,-3.67515355311079,13.023483017009822,1.50138902004156,-0.791632399086168,35.32173301868374,179.28312027500124,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
3,-27.46729643864324,4.517699355333696,-3.625613528496356,14.484429177006184,1.286388022479379,-0.5013666646009431,35.32173301868374,-20.846320459017534,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
4,-26.77790257401465,4.866484280335072,-3.798741659048103,13.390130082537167,1.3270664675540675,-0.6712195277480572,35.32173301868374,41.467829250016166,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
5,-26.849388568342416,4.275236034782584,-3.57416597422358,13.095008535475898,1.238701661817485,-0.8458548436619175,35.32173301868374,82.91864814390101,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
6,-26.991257816703506,4.353923870311419,-3.5348688505862413,15.00084733472856,1.59272625531039,-0.16243653681040995,1.0908022986444432,30.826736974106552,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
7,-27.25035455354861,4.689293815274511,-3.8033108037549312,12.868530975834648,0.9580246263036403,-1.113218931205969,1.0908022986444432,143.40468707875016,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
8,-27.25812124668792,3.970756214750459,-3.3527792542979986,12.361781539906543,0.7611813759299502,-1.4782309995246288,1.0908022986444432,-55.608515351917504,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
9,-27.123479892567175,4.438079040973879,-3.7809221458847273,12.821149357871185,0.9238825697452923,-1.1550068031054852,1.0908022986444432,113.35083441896631,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
10,-28.17226294720638,4.113647040641593,-3.689703862693822,11.756770766369264,0.7461025892217132,-1.9203228635922123,0.19727959813055218,-117.16087006030148,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,False
11,-27.180644794161857,4.375009548716105,-3.436546331066423,16.00506463105854,1.4073664976376554,-0.2558448122548554,4.618712880828332,-5.939581520342017,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
12,-27.364738153541186,4.704587053717052,-3.6027351436815325,11.794846957002935,0.8574197083411847,-1.874467725237159,4.618712880828332,66.63035114754484,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,False
13,-27.4115447861956,4.60430720703112,-3.513611528048386,11.769181822408388,1.0813981818381564,-1.891181090205862,0.36268088073606275,100.57653673874893,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,False
14,-27.322175468109943,4.653234426962833,-3.5433672486093455,13.630874506837685,1.5976227529624654,-0.4060908831836406,3.7367249812311165,-2.018994946065959,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
15,-27.200801423013786,4.493269166338717,-3.5161044186066426,12.94846895169781,1.1958549506259553,-0.9421628212544653,3.7367249812311165,66.94764882848358,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
16,-28.125837130331643,4.817082480356839,-3.437176465981427,12.04433267508427,0.9534696556539548,-1.654319049865427,3.7367249812311165,106.12028036542188,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
17,-27.495451598255983,4.809783409149899,-3.557299704293095,13.172024766997412,1.1181318685182065,-0.8909566049498301,3.7367249812311165,-45.92492103311861,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
18,-27.757273328734122,4.161065484146527,-4.247181550085751,11.75908350400345,1.2380000747454705,-1.936327055199581,3.7367249812311165,-95.10671243035767,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
19,-27.33339922450243,4.6863574102305705,-3.7166066777372464,12.843748507245982,0.9752029838903861,-1.1137046155662487,2.75188201541189,-112.9985682694005,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
20,-27.47260578955369,4.600945850145669,-3.5365493867495057,13.078684920299214,1.0819716037564946,-0.9490895349470112,2.75188201541189,2.3606822631199975,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
21,-27.565924675105357,4.316144552489442,-3.2191636265568997,12.615332944944718,0.808480740709749,-1.318557236199922,2.75188201541189,29.778699024896014,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
22,-27.184275567466784,4.37063197830803,-3.523009149869556,13.643572358320574,1.2727231701858668,-0.643432689308674,2.75188201541189,-44.327676224716015,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
23,-27.992630101171926,4.84069575546664,-3.485389527082896,12.539248070822492,1.1814823790590672,-1.2224549138521295,2.75188201541189,111.0910171807709,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
24,-27.46748523377198,4.228110044145356,-3.53662570218282,13.55734832238985,1.1070464923743455,-0.8006763315130065,2.75188201541189,68.80480199225076,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
25,-27.178568124877312,4.168063799808788,-3.6356405661204256,12.311699463065299,0.7295253024686569,-1.5224750703656387,2.75188201541189,-80.49803420333365,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
26,-27.711486350982458,4.691307923269196,-3.5858471398411353,12.368334592930193,0.8248751245053895,-1.4467656330975567,2.75188201541189,46.82164543618819,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
27,-26.835845992886064,4.346998223782631,-3.4013395326745597,13.306702887070163,1.2581909990985487,-0.7473016052404776,3.1229425959678663,-13.082410164166959,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
28,-27.369754356198527,4.427319027892567,-3.5304437277226777,12.652801767478708,0.9712003710263227,-1.212317717034819,3.1229425959678663,72.64993811048998,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
29,-27.890296580693757,4.861833665266238,-3.4658477379913903,12.454057452332508,1.0122519607575031,-1.3243504348257258,3.1229425959678663,116.77706965684183,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
30,-27.085630914987615,4.579449271297696,-3.9240696183284483,12.639828162110867,0.8806150713555103,-1.2653424740950203,3.1229425959678663,-90.00415675587556,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,True
31,-27.440085875680662,4.626420076428086,-3.533178394000654,13.252493718729335,1.1601460967115869,-0.834201699295742,3.1229425959678663,16.36279200070203,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,True,False
32,-27.16197530238129,4.432879934131129,-3.339793363446698,13.99302713690608,1.1004938301139433,-0.7359362914734965,3.1229425959678663,-55.877805924715176,9895,0.25,10.012788875171589,-9.885032926107465,0.4896281361579895,False,True
33,-27.952846396366056,4.405952590358028,-3.252470518403963,12.615023712028124,0.9454187667765551,-1.249448100016278,9.113410843367523,-7.5320840620488525,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
34,-28.024409055043982,4.263288873524605,-2.935899571880817,12.583895591661744,0.8980044324366541,-1.2893744000110563,9.113410843367523,16.22395131146368,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
35,-28.301273280224137,4.629331000871744,-3.351124973999405,11.982245946039127,1.1919305256517267,-1.6895889245498672,9.113410843367523,-23.614573510305945,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
36,-27.831968051684893,4.291387344901786,-3.9653288694874407,11.981936532233583,1.027278154469143,-1.7040354207492507,19.745691917006017,62.57788706802512,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
37,-27.921346947045407,3.8543949552181007,-4.042572708949076,12.240138232158333,1.1455041669244412,-1.467944007311642,19.745691917006017,9.173448927675054,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,False,True
38,-28.03562050622263,4.343228095094777,-2.95282778448398,11.973629270801624,0.6041912903179217,-1.7922682881147456,19.745691917006017,16.46621545287735,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
39,-27.74227194484919,4.192881256320811,-3.836505523898798,12.159092616562317,0.7119501067618336,-1.6293315607823655,19.745691917006017,58.775015028938014,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
40,-28.023447880950908,4.540610937929924,-3.001216904920689,12.339551466488992,0.7944142776860056,-1.4808394659187072,19.745691917006017,-4.784124484599033,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,False,True
41,-27.62607066240317,4.834711603417108,-3.3897619657037596,12.76612881708359,0.9494970144892849,-1.1675718213030302,0.7472372636745809,43.83062601738948,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
42,-27.50851052710012,4.882918014300619,-3.398870965001693,12.71718272227045,0.9720878989837243,-1.1801751159372964,0.7472372636745809,-28.977599358760926,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
43,-27.824833872191185,4.154736885671493,-3.542835330085195,12.391491892909189,0.770091133680847,-1.4599832093843592,0.7472372636745809,11.165087365932777,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
44,-27.526962027825995,3.292356027746139,-3.5616079299468435,12.024991327851387,0.6909803937621026,-1.7287048008151897,0.7472372636745809,60.29858976635569,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
45,-27.824833872191185,4.154736885671493,-3.542835330085195,11.914131957133907,1.4462336578188402,-1.7366376144655944,0.7472372636745809,10.084918839984766,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
46,-27.227793118657836,4.708854282686679,-3.502180207753859,12.347971691795722,0.8858584016520119,-1.450500042620197,7.544138123498423,128.44410914333594,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,False,False
47,-28.070761339274267,4.915777028525774,-3.409217369440491,11.821678228177397,1.000784183075448,-1.8444282014095779,7.544138123498423,105.63731344866665,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
48,-27.600084596999903,4.818851227726308,-3.410706990412599,12.860592662820428,0.9754103587747993,-1.1091375412291407,0.7657536450946928,-27.937409106183168,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
49,-27.520235534759912,4.511546601349278,-3.262778057939444,12.796639347525801,0.9088445494116362,-1.1784576222449474,0.7657536450946928,-49.78922995228777,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
50,-27.745673494090614,4.508781893164592,-3.404799355978855,12.795096483942793,0.9562299149445669,-1.150083394461237,0.7657536450946928,10.435892024262102,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
51,-27.626068669049516,4.834710597024081,-3.3897600373754013,12.689096088798765,0.9778449431212782,-1.192347280311654,0.7657536450946928,43.38740125572622,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
52,-27.315556286992162,4.820163218401333,-3.4024082389512373,12.249335488344542,0.8898237439041107,-1.5108029149243283,0.7657536450946928,-5.09042391125422,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
53,-27.548545174011668,4.513885073490409,-3.2414337124173853,12.844211643041286,0.9652139268952542,-1.1226333481237563,23.236754080761163,-54.71721314951401,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
54,-27.908016762477263,4.64177257556893,-3.433362854730392,12.76447431332482,0.9300771960996737,-1.1797555556023251,23.236754080761163,-24.37086813361293,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
55,-27.745110819995162,4.177345320184069,-3.2001743164677987,12.672834882496522,0.8762931586523637,-1.254500898927705,23.236754080761163,14.819654828316288,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
56,-27.535856013962974,4.716898355524595,-3.379202027126058,12.381419523780652,0.907216779373991,-1.4119233240161848,23.236754080761163,-9.626228762212122,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
57,-27.379700768707938,4.3813994472507956,-3.2106815396041735,12.087972149144969,0.6722802527069287,-1.691542504172666,23.236754080761163,-115.40352583993445,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
58,-27.781564778019817,5.010778707383649,-3.1096769852270842,12.32894587033775,0.9782774899885207,-1.4290015205731659,23.236754080761163,-76.5363697162361,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
59,-28.001967599526168,4.538055443974604,-3.078636633133615,12.66430379680856,0.8899286624729588,-1.2510794949234891,1.8024499708885784,-44.73949478245095,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
60,-28.06354177045581,4.823547348877435,-3.5044011734919933,12.437284719501108,1.3607758713045564,-1.2809043057681575,1.8024499708885784,-60.77395638472308,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
61,-28.100672039560138,4.718941668680525,-3.355887453545327,11.70823581922931,0.9330492461942029,-1.9864319338546075,1.8024499708885784,-22.006579760522982,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
62,-28.035818566173702,4.276956490366827,-2.935707601156822,12.25702704893113,0.7959954008826777,-1.5340412327717807,20.049174153959903,14.715733338867722,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
63,-28.00019118070452,4.528258845961468,-3.0725645449303722,12.096434314695491,1.008312388309151,-1.609156495982717,20.049174153959903,-51.101297243366844,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
64,-27.210194465632007,4.415978332582117,-3.132635945351858,11.972507459877662,0.8089639249112865,-1.7404701804697946,0.618131284420539,87.61356615765362,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,False
65,-28.028375100651445,4.2462644884928125,-2.9333836908997095,12.565913426054918,0.8410113815422515,-1.3279298978769927,1.3205311108075812,17.46115546804367,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
66,-27.129914614407458,4.274909541814061,-3.5630904117869187,12.03608985749726,1.2584470460365553,-1.640997754491943,1.3205311108075812,-13.254304170449814,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
67,-27.291504250105856,4.677183834119464,-3.336624865582573,11.737846718173186,0.5425000657384641,-1.9761134110895586,1.3205311108075812,-18.53354323251324,6961,0.25,10.170906977702556,-10.588892054887713,0.305221825838089,True,True
68,-27.19978401954885,4.004766551011988,-3.04259335875521,12.334976460178003,0.7464000827722438,-1.4939260514656187,0.7151211819491251,112.10978908816924,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,False,False
69,-27.045973787081373,4.3720018648252434,-2.898534767612125,12.746564837204412,0.9668899787771088,-1.158014866482755,2.677652692311454,35.733244236054816,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,False
70,-28.091037556420552,4.192336228657707,-2.848635348647129,12.329066755319797,0.7828010768417556,-1.4818844822274189,2.677652692311454,9.093531083794005,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,False,True
71,-27.100972946235675,4.399219861262474,-2.9221961904089184,13.119700953194654,1.0129037804939949,-0.9791423764172584,1.8729458262949177,42.814338546344516,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
72,-28.09102911545434,4.192274657563763,-2.848631744773916,12.246853598754,0.759162895797675,-1.5437055312662817,1.8729458262949177,10.288510277365276,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
73,-27.302473800791493,4.466303058737634,-2.994805593182785,12.564831145186531,0.838065523869521,-1.3203396533661063,0.7849462743761756,48.392447301380344,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,False,True
74,-27.773553391441315,3.9475364812745157,-3.085101815762111,12.42028419476432,0.7486406610411573,-1.4445615536269978,0.7849462743761756,37.749553650085545,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
75,-27.495827281879937,4.753676198232537,-3.101428640374975,12.314211051780624,0.9271431294563077,-1.4425780577195797,0.7849462743761756,-53.9532683407715,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
76,-28.074406810410068,4.7010365107336405,-2.9875081573366535,12.231647364184626,0.9313305634331424,-1.5025721375680567,0.7849462743761756,-18.03178222950828,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,False,False
77,-28.091038201466052,4.192318832267911,-2.8486346769807995,11.778114950465062,0.7883582821782129,-1.888313732107926,0.7849462743761756,4.888411989702945,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
78,-27.49582728097251,4.753676190960886,-3.101428640414638,12.897366780030074,0.976003260396433,-1.0846344865852267,0.9935865007054605,-56.240915893548845,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
79,-28.074403138174944,4.701038203451665,-2.9875089498554366,12.490130169818137,0.9103463378662142,-1.3293068774405237,0.9935865007054605,-22.038386470680962,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
80,-27.776062060222813,3.944587592384639,-3.085397098563663,12.114174507695708,0.7014524196889058,-1.652844802970046,0.9935865007054605,30.48715526590786,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,False,True
81,-28.091034239362568,4.192311677296486,-2.848633921013969,11.838879052731878,0.8237275492628258,-1.8340798957488422,0.9935865007054605,5.971826609756135,9881,0.25,10.013309544935332,-10.644148683243705,0.3172608017921448,True,True
82,-27.947341454134502,4.764315778088339,-2.746615531965036,13.144717620585304,1.1345336612828458,-0.8889330354544542,2.9463288983752323,-26.43336487446868,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
83,-27.595400878384183,4.311125838064624,-3.104568879922036,12.852805871163046,0.9815178517541355,-1.1049101961017773,2.9463288983752323,16.77944039662816,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
84,-27.966053651417955,4.571950188859335,-3.805029934310517,12.985701212410842,1.2557381905816354,-0.8940603698895617,2.9463288983752323,71.81079923483594,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
85,-27.942048748298006,4.575853679783492,-3.9479436520140827,12.197153593448435,0.8160169392521903,-1.564576601258532,2.9463288983752323,90.05364868532888,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,True
86,-27.75707348910346,4.773854539684292,-3.291772276631822,12.615955272031112,0.9385654442834523,-1.2477425362454657,0.5336698372887244,249.40558392333878,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
87,-27.744661073371496,4.8971550970624955,-3.176251083669414,11.838400112694984,0.9352661985384355,-1.8775892421174434,22.00505045958284,-84.34537310413634,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,True
88,-28.030874094784473,4.499740589824362,-3.676570098754278,12.899905850057745,1.181357536125063,-0.9749999871714454,2.4608500340938404,67.42041702294591,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
89,-26.894073705866735,4.226461970291734,-3.1240786108195513,13.077218873275294,1.076823856385991,-0.9525632820118083,2.4608500340938404,-26.136120361165922,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,False
90,-27.59453318210601,4.311355078246209,-3.1057509748145136,12.767763350670284,0.9604478893592252,-1.1567023980390068,2.4608500340938404,16.51517127675652,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
91,-27.120114342324324,4.746013913822352,-3.296067564241537,12.739576710451173,0.941582056289522,-1.1808922101947985,2.4608500340938404,86.66410636599176,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,True
92,-27.757073490269498,4.773854538469405,-3.291772272384627,12.565125644956678,0.9304169055905632,-1.2806271065673887,0.6115368094110764,247.11253828632016,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,False
93,-27.55428845378891,4.536745483785607,-2.8604742241216203,12.70475930980562,0.8963961606893425,-1.2238080002409217,2.928705149513926,-57.22470907398656,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,False
94,-27.475756573739634,4.825265169442038,-3.6433992855073547,12.32448147352679,0.9413663770924696,-1.4367180690299248,0.3156494333102809,275.05687447318905,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
95,-27.42824830727904,4.194637656882387,-3.379704354266327,11.831238294112568,0.7780842188831966,-1.8536413943754466,1.06732689395085,-127.31888899955084,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
96,-28.188275091319888,4.015063400993241,-3.367178951420443,11.943668611638266,0.739298829084794,-1.7716387283519237,34.2074418025723,254.83647838787238,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,False
97,-27.78177613143453,4.755177618473106,-3.2506317179301925,15.082284314975706,1.1191631634067596,-0.6044036704800138,33.885787686071936,-13.852275623102287,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
98,-28.21931003725924,3.5017814730250842,-3.9349660049721153,12.135975727739932,0.9068207770618084,-1.5877204960539966,33.885787686071936,196.39520393476414,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
99,-27.551827125443012,3.9032965912793585,-3.518908203466519,12.609557373875214,1.0537456637840714,-1.2038488116073296,33.885787686071936,94.90324790135764,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,False
100,-27.460127128398284,3.8723330922863193,-3.482790640191527,12.36379819946921,0.9190319152599753,-1.4154134272071985,33.885787686071936,155.9770119884306,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
101,-27.834452606672947,4.575393648466365,-3.188083068222867,16.93488389183743,0.9959545397916696,-0.6192792850270168,33.885787686071936,46.1600705651681,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
102,-27.813451722089717,4.319562179273253,-3.5843245796598713,13.388935221323555,1.1782248958193486,-0.779687778121968,2.2813725136032086,148.4074303721045,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,True
103,-27.70150933072278,4.79427952457619,-3.1960278313198356,12.921210348631611,0.9878611931849626,-1.071971697836406,2.2813725136032086,-8.450587231212012,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,False
104,-27.15843543819518,4.5398398328554315,-3.202863726373756,13.055047503369384,1.0648580963641496,-0.9686763354804855,2.2813725136032086,75.48758946230737,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,False
105,-27.502360828142933,4.7582730064592065,-3.362627501251781,12.848649212002911,0.9809006590470286,-1.107235239229475,2.2813725136032086,-32.621120305962904,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
106,-27.871422624099868,4.490613383033671,-2.8833422755511617,12.62071539414172,0.827171997224448,-1.3040955953920494,2.2813725136032086,54.854231870854164,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,True,True
107,-27.814402485031337,4.522088767847414,-2.9432539956322166,12.87348010756901,0.9594738028304532,-1.1097875672700306,2.2813725136032086,35.82181014874732,6165,0.25,10.225800416805814,-10.22591143619908,0.5368887782096863,False,True
